STRATUM,NperHa,area_km2,Ws,p,eq,n_trans_p,n_trans_eq
1,4705.055368,261,1228019.451,0.05,0.057,2,2
2,3560.00037,501,1783560.185,0.072,0.109,3,4
3,9349.305739,650,6077048.731,0.245,0.141,9,5
4,5440.359065,692,3764728.473,0.152,0.15,6,6
5,6198.223628,580,3594969.704,0.145,0.126,6,5
6,4615.994627,549,2534181.05,0.102,0.119,4,5
7,6234.469915,459,2861621.691,0.116,0.1,4,4
8,5468.024037,375,2050509.014,0.083,0.081,3,3
9,1882.86674,229,431176.4834,0.017,0.05,1,2
10,1418.998789,306,434213.6293,0.018,0.066,1,3
