BASIN,STRATUM,NperHa_avg_sd,area_km2,Ws,p,eq,n_trans_p,n_trans_eq,trawl_tows_per_grid
WB,S01,9646,929,8961276,0.248,0.273,5,5,None
WB,S02,12459,631,7861886,0.218,0.185,4,4,None
WB,S03,8542,273,2331950,0.065,0.08,1,2,None
WB,S04,11700,518,6060548,0.168,0.152,3,3,None
WB,S05,10186,969,9870222,0.274,0.284,5,6,None
WB,S06,11545,86,992865,0.028,0.025,1,1,None
CB,S07,9096,794,7222402,0.046,0.063,1,1,2 - 3 tows
CB,S08,14056,1584,22265414,0.141,0.125,3,2,3 - 4 tows
CB,S09,11213,1643,18423648,0.117,0.13,2,3,3 - 4 tows
CB,S10,11696,1096,12818385,0.081,0.087,2,2,2 - 3 tows
CB,S11,17306,1177,20369397,0.129,0.093,3,2,2 - 3 tows
CB,S12,13814,2521,34825047,0.22,0.199,4,4,3 - 4 tows
CB,S13,10931,3122,34125725,0.216,0.247,4,5,3 - 4 tows
CB,S14,11162,720,8036608,0.051,0.057,1,1,2 - 3 tows
EB,S15,4705,261,1228019,0.05,0.057,2,2,None
EB,S16,3560,501,1783560,0.072,0.109,3,4,None
EB,S17,9349,649,6067699,0.245,0.141,9,5,None
EB,S18,5440,691,3759288,0.152,0.15,6,6,None
EB,S19,6198,579,3588771,0.145,0.126,6,5,None
EB,S20,4616,548,2529565,0.102,0.119,4,5,None
EB,S21,6234,459,2861622,0.116,0.1,4,4,None
EB,S22,5468,375,2050509,0.083,0.082,3,3,None
EB,S23,1883,229,431176,0.017,0.05,1,2,None
EB,S24,1419,305,432795,0.017,0.066,1,3,None
